        234 235 236 237 238 239 240 241 242 243 244
  163   c0  c0  s0  s0  #0  #0  g1  g1  g1  g1  g1 
  164   c0  i0  s0  s0  #0  #0  #0  #0  #0  g1  g1 
  165   i0  s0  s0  s0  #0  #0  #0  #0  #0  g1  g1 
  166   s0  s0  l0  s0  #0  #0  #0  #0  #0  g1  g1 
  167   s0  s0  s0  s0  #0  #0  #0  #0  #0  g1  g1 
  168   g0  g0  g0  #0  #0  #0  #0  #0  #0  g1  g1 
  169   g0  t0  g0  G0  G0  G0  #0  #0  #0  g1  g1 
  170   g0  g0  g0  G0  G0  G0  g1  g1  g1  g1  g1 
  171   g0  g0  g0  g0  g0  #0  #0  g1  g1  g1  g1 
  172   g0  g0  g0  g0  g0  =1  g1  g1  g1  #1  #1 
  173   g0  g0  g0  #1  #1  #1  #1  #1  #1  #1  #1 
  174   g0  g0  g0  #1  #1  #1  #1  #1  #1  #1  #1 
  175   g0  g0  g0  #1  #1  #1  #1  #1  #1  #1  #1 
  176   g0  g0  g0  #1  #1  #1  g1* #1  #1  #1  #1 
  177   g0  g0  g0  g0  g0  g0* g1* #1  #1  #1  #1 
